"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Own bicycle
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"2-5 times per week";"347 / 2,086";"17%";"356 / 2,088";"17%";"269 / 2,096";"13%";"584 / 2,613";"22%";"358 / 2,097";"17%";"509 / 2,096";"24%";"347 / 2,093";"17%";"346 / 2,087";"17%";"317 / 2,074";"15%"
"1-4 times per month";"442 / 2,086";"21%";"392 / 2,088";"19%";"351 / 2,096";"17%";"516 / 2,613";"20%";"367 / 2,097";"18%";"511 / 2,096";"24%";"359 / 2,093";"17%";"349 / 2,087";"17%";"376 / 2,074";"18%"
"Every 2-3 months";"195 / 2,086";"9%";"158 / 2,088";"8%";"170 / 2,096";"8%";"187 / 2,613";"7%";"161 / 2,097";"8%";"182 / 2,096";"9%";"106 / 2,093";"5%";"177 / 2,087";"8%";"167 / 2,074";"8%"
"Less often";"353 / 2,086";"17%";"400 / 2,088";"19%";"266 / 2,096";"13%";"303 / 2,613";"12%";"287 / 2,097";"14%";"236 / 2,096";"11%";"256 / 2,093";"12%";"401 / 2,087";"19%";"274 / 2,074";"13%"
"Not at all";"558 / 2,086";"27%";"508 / 2,088";"24%";"924 / 2,096";"44%";"678 / 2,613";"26%";"736 / 2,097";"35%";"394 / 2,096";"19%";"871 / 2,093";"42%";"523 / 2,087";"25%";"685 / 2,074";"33%"
""
""
"2021 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
