"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Own / household car
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Less often";"30 / 2,086";"1%";"39 / 2,088";"2%";"34 / 2,096";"2%";"42 / 2,613";"2%";"32 / 2,097";"2%";"38 / 2,096";"2%";"35 / 2,093";"2%";"54 / 2,087";"3%";"36 / 2,074";"2%"
"Not at all";"326 / 2,086";"16%";"447 / 2,088";"21%";"265 / 2,096";"13%";"495 / 2,613";"19%";"119 / 2,097";"6%";"297 / 2,096";"14%";"215 / 2,093";"10%";"410 / 2,087";"20%";"397 / 2,074";"19%"
""
""
"2021 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,078 / 2,078";"100%";"2,076 / 2,076";"100%";"2,081 / 2,081";"100%";"3,095 / 3,095";"100%";"2,078 / 2,078";"100%";"2,082 / 2,082";"100%";"2,080 / 2,080";"100%";"2,073 / 2,073";"100%";"2,051 / 2,051";"100%"
"(Almost) daily";"963 / 2,078";"46%";"943 / 2,076";"45%";"969 / 2,081";"47%";"1,379 / 3,095";"45%";"1,229 / 2,078";"59%";"1,034 / 2,082";"50%";"1,054 / 2,080";"51%";"755 / 2,073";"36%";"801 / 2,051";"39%"
"2-5 times per week";"556 / 2,078";"27%";"496 / 2,076";"24%";"562 / 2,081";"27%";"763 / 3,095";"25%";"505 / 2,078";"24%";"487 / 2,082";"23%";"501 / 2,080";"24%";"605 / 2,073";"29%";"555 / 2,051";"27%"
"1-4 times per month";"171 / 2,078";"8%";"131 / 2,076";"6%";"215 / 2,081";"10%";"255 / 3,095";"8%";"161 / 2,078";"8%";"173 / 2,082";"8%";"233 / 2,080";"11%";"201 / 2,073";"10%";"215 / 2,051";"10%"
"Every 2-3 months";"34 / 2,078";"2%";"27 / 2,076";"1%";"42 / 2,081";"2%";"52 / 3,095";"2%";"37 / 2,078";"2%";"37 / 2,082";"2%";"29 / 2,080";"1%";"50 / 2,073";"2%";"33 / 2,051";"2%"
"Less often";"29 / 2,078";"1%";"34 / 2,076";"2%";"38 / 2,081";"2%";"50 / 3,095";"2%";"36 / 2,078";"2%";"47 / 2,082";"2%";"35 / 2,080";"2%";"63 / 2,073";"3%";"38 / 2,051";"2%"
"Not at all";"325 / 2,078";"16%";"445 / 2,076";"21%";"255 / 2,081";"12%";"596 / 3,095";"19%";"110 / 2,078";"5%";"304 / 2,082";"15%";"228 / 2,080";"11%";"399 / 2,073";"19%";"409 / 2,051";"20%"
""
""
"2021 - Update 3"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,066 / 2,066";"100%";"2,061 / 2,061";"100%";"2,063 / 2,063";"100%";"3,576 / 3,576";"100%";"2,061 / 2,061";"100%";"2,064 / 2,064";"100%";"2,066 / 2,066";"100%";"2,064 / 2,064";"100%";"2,047 / 2,047";"100%"
"(Almost) daily";"942 / 2,066";"46%";"922 / 2,061";"45%";"955 / 2,063";"46%";"1,616 / 3,576";"45%";"1,202 / 2,061";"58%";"1,002 / 2,064";"49%";"1,038 / 2,066";"50%";"743 / 2,064";"36%";"806 / 2,047";"39%"
"2-5 times per week";"558 / 2,066";"27%";"494 / 2,061";"24%";"551 / 2,063";"27%";"883 / 3,576";"25%";"512 / 2,061";"25%";"492 / 2,064";"24%";"514 / 2,066";"25%";"621 / 2,064";"30%";"534 / 2,047";"26%"
"1-4 times per month";"179 / 2,066";"9%";"151 / 2,061";"7%";"226 / 2,063";"11%";"294 / 3,576";"8%";"152 / 2,061";"7%";"167 / 2,064";"8%";"227 / 2,066";"11%";"215 / 2,064";"10%";"219 / 2,047";"11%"
"Every 2-3 months";"35 / 2,066";"2%";"30 / 2,061";"1%";"45 / 2,063";"2%";"61 / 3,576";"2%";"41 / 2,061";"2%";"38 / 2,064";"2%";"29 / 2,066";"1%";"51 / 2,064";"2%";"36 / 2,047";"2%"
"Less often";"32 / 2,066";"2%";"33 / 2,061";"2%";"38 / 2,063";"2%";"59 / 3,576";"2%";"42 / 2,061";"2%";"47 / 2,064";"2%";"38 / 2,066";"2%";"62 / 2,064";"3%";"37 / 2,047";"2%"
"Not at all";"320 / 2,066";"15%";"431 / 2,061";"21%";"248 / 2,063";"12%";"663 / 3,576";"19%";"112 / 2,061";"5%";"318 / 2,064";"15%";"220 / 2,066";"11%";"372 / 2,064";"18%";"415 / 2,047";"20%"
""
""
"2021 - Update 4"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
